55,2018-02-06,@,Buffalo Sabres,4,3,W,OT,,33,6,1,3,0,,33,8,1,2,1,,50,47,51.5,37,35,51.4,22,33,40.0,38.0,107.1
56,2018-02-09,,Edmonton Oilers,3,2,W,,,34,9,0,2,0,,32,9,0,3,0,,51,54,48.6,43,40,51.8,28,20,58.3,36.7,102.0
57,2018-02-11,,San Jose Sharks,2,3,L,SO,,27,7,0,2,0,,39,9,0,1,0,,52,59,46.8,36,50,41.9,29,33,46.8,49.6,102.0
58,2018-02-13,@,Detroit Red Wings,1,2,L,,,33,4,0,4,0,,16,8,0,2,0,,47,38,55.3,33,27,55.0,29,14,67.4,53.8,91.4
59,2018-02-15,@,Chicago Blackhawks,3,2,W,,,32,12,0,2,0,,44,6,1,5,0,,41,60,40.6,34,40,45.9,23,23,50.0,42.1,107.1
60,2018-02-17,@,Minnesota Wild,3,2,W,SO,,31,11,1,3,0,,38,11,0,3,0,,58,56,50.9,37,43,46.3,20,26,43.5,46.7,97.6
61,2018-02-19,@,Vegas Golden Knights,2,0,W,,,20,6,0,0,0,,33,2,,2,,,40,67,37.4,32,43,42.7,31,29,51.7,35.9,110.5
62,2018-02-21,,Dallas Stars,2,0,W,,,17,15,1,3,1,,41,11,,4,,,32,52,38.1,21,44,32.3,21,22,48.8,41.9,100.0
63,2018-02-24,@,Arizona Coyotes,0,2,L,,,26,8,0,2,0,,38,4,0,4,0,,50,47,51.5,33,39,45.8,25,15,62.5,64.0,93.3
64,2018-02-25,,Edmonton Oilers,5,6,L,SO,,46,4,1,3,0,,42,6,0,2,0,,56,55,50.5,50,45,52.6,29,32,47.5,58.1,95.0
65,2018-03-02,,Columbus Blue Jackets,4,2,W,,,35,12,0,2,1,,36,8,0,4,0,,52,49,51.5,43,41,51.2,29,23,55.8,48.3,102.9
66,2018-03-04,,Chicago Blackhawks,6,3,W,,,31,9,1,2,0,,40,9,0,2,0,,53,73,42.1,45,56,44.6,22,27,44.9,27.6,108.7
67,2018-03-06,,Washington Capitals,4,0,W,,,18,8,1,1,0,,36,4,,3,,,45,68,39.8,35,46,43.2,17,27,38.6,28.7,117.6
68,2018-03-08,@,Nashville Predators,2,4,L,,,33,7,0,2,0,,28,9,0,1,1,,53,44,54.6,35,38,47.9,17,25,40.5,55.2,96.2
69,2018-03-09,@,Dallas Stars,1,2,L,,,27,4,0,3,0,,37,6,2,2,0,,49,63,43.8,30,41,42.3,21,24,46.7,34.4,104.2
70,2018-03-12,,St. Louis Blues,2,4,L,,,22,2,0,1,0,,23,2,0,1,0,,53,40,57.0,33,30,52.4,20,19,51.3,64.0,90.5
71,2018-03-14,,Vancouver Canucks,3,0,W,,,37,4,1,6,0,,32,22,,2,,,48,49,49.5,39,39,50.0,24,21,53.3,54.9,106.7
72,2018-03-16,,Detroit Red Wings,4,2,W,,,36,23,0,2,0,,30,19,0,5,0,,40,42,48.8,37,33,52.9,28,21,57.1,60.0,103.8
73,2018-03-18,,New Jersey Devils,4,2,W,,,36,8,1,2,0,,17,6,1,4,0,,62,29,68.1,50,20,71.4,27,20,57.4,80.0,101.9
74,2018-03-21,@,Calgary Flames,4,0,W,,,16,8,0,1,1,,29,6,,2,,,35,58,37.6,24,45,34.8,24,22,52.2,42.6,121.4
75,2018-03-23,@,Winnipeg Jets,2,3,L,OT,,18,4,1,2,0,,42,4,0,2,0,,28,79,26.2,23,55,29.5,21,34,38.2,32.2,99.5
76,2018-03-25,@,Edmonton Oilers,5,4,W,OT,,38,8,0,2,0,,32,4,1,4,0,,64,47,57.7,47,40,54.0,26,23,53.1,44.1,103.2
77,2018-03-27,@,Vancouver Canucks,1,4,L,,,24,2,0,2,0,,30,4,0,1,0,,40,49,44.9,25,41,37.9,23,22,51.1,58.1,90.3
78,2018-03-30,,Los Angeles Kings,2,1,W,OT,,33,0,0,1,0,,29,2,0,0,0,,69,51,57.5,51,39,56.7,30,20,60.0,46.2,102.8
79,2018-04-01,,Colorado Avalanche,4,3,W,OT,,42,12,0,2,0,,31,8,1,4,0,,69,51,57.5,48,38,55.8,36,22,62.1,68.8,104.6
80,2018-04-04,,Minnesota Wild,3,1,W,,,30,6,0,3,0,,27,6,1,3,0,,58,41,58.6,46,28,62.2,20,24,45.5,43.6,110.7
